orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YCL034W,LSB5,"Protein of unknown function; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization",-0.22,0.14,0.15,0.22,0.32,-0.01,9,0.10,0.192,0.384,0.265,4,0.21
YOR108W,LEU9,"Alpha-isopropylmalate synthase II (2-isopropylmalate synthase), catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant",0.06,0.27,0.09,-0.03,-0.05,0.26,5,0.10,0.139,0.337,0.199,2,0.04
YJR083C,ACF4,"Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate",-0.07,0.12,0.20,-0.02,0.41,-0.04,5,0.10,0.182,0.470,0.251,4,-0.06
YOR222W,ODC2,"Mitochondrial inner membrane transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for use in lysine and glutamate biosynthesis and in lysine catabolism",0.05,0.01,-0.40,-0.19,0.81,0.32,6,0.10,0.423,0.800,0.267,9,-0.08
YDR155C,CPR1,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A",0.43,-0.13,0.23,-0.07,0.10,0.02,80,0.10,0.207,0.392,0.207,57,0.02
YHR063C,PAN5,"2-dehydropantoate 2-reductase, part of the pantothenic acid pathway, structurally homologous to E. coli panE",0.03,0.21,0.01,0.17,0.18,-0.02,23,0.10,0.100,0.236,0.202,23,0.20
YPR073C,LTP1,Protein phosphotyrosine phosphatase of unknown cellular role; activated by adenine,0.05,0.18,0.11,0.05,0.14,0.07,9,0.10,0.052,0.633,0.202,2,0.08
YHR192W,YHR192W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS,0.09,-0.01,0.14,0.09,-0.06,0.34,17,0.10,0.140,0.463,0.203,5,0.03
YDR266C,YDR266C,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments;green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; contains a RING finger domain",0.10,0.36,0.10,0.08,-0.14,0.08,8,0.10,0.158,0.589,0.255,5,-0.16
YBR127C,VMA2,"Subunit B of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm",0.03,0.25,-0.03,-0.02,-0.05,0.41,24,0.10,0.189,0.527,0.210,14,0.03
YGL147C,RPL9A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Bp and has similarity to E. coli L6 and rat L9 ribosomal proteins",0.11,0.10,-0.62,0.09,0.37,0.54,5,0.10,0.394,0.704,0.332,2,-0.01
YJR032W,CPR7,"Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity",0.11,0.35,0.14,0.07,-0.20,0.12,7,0.10,0.176,0.384,0.281,13,0.01
YMR311C,GLC8,"Regulatory subunit of protein phosphatase 1 (Glc7p), involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2",0.21,0.20,0.26,-0.23,0.00,0.15,8,0.10,0.182,0.451,0.281,1,0.01
YOR118W,RTC5,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; null mutation suppresses cdc13-1 temperature sensitivity,0.04,0.43,0.00,0.69,0.25,-0.82,3,0.10,0.521,0.840,0.333,7,0.03
YMR228W,MTF1,"Mitochondrial RNA polymerase specificity factor with structural similarity to S-adenosylmethionine-dependent methyltransferases and functional similarity to bacterial sigma-factors, interacts with mitochondrial core polymerase Rpo41p",0.26,-0.11,0.03,-0.01,0.36,0.06,7,0.10,0.175,0.522,0.256,8,0.03
YLR438W,CAR2,"L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive",-0.01,0.46,-0.42,0.39,-0.25,0.41,2,0.10,0.380,0.848,0.271,,
YJL186W,MNN5,"Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment",0.08,0.41,0.06,0.21,-0.11,-0.07,4,0.10,0.189,0.672,0.282,8,-0.10
YLL013C,PUF3,"Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins",0.01,0.05,0.06,0.11,0.01,0.35,21,0.10,0.128,0.278,0.206,14,0.07
YGR078C,PAC10,"Part of the heteromeric co-chaperone GimC/prefoldin complex, which promotes efficient protein folding",0.44,0.21,0.09,0.05,-0.55,0.35,5,0.10,0.350,0.707,0.272,,
YER101C,AST2,"Protein that may have a role in targeting of plasma membrane [H+]ATPase (Pma1p) to the plasma membrane, as suggested by analysis of genetic interactions",-0.13,0.31,0.02,-0.08,0.26,0.19,10,0.10,0.184,0.512,0.207,5,0.25
YNL039W,BDP1,"Essential subunit of RNA polymerase III transcription factor (TFIIIB), which is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs",0.63,-2.08,0.28,0.88,0.33,0.53,4,0.10,1.089,0.711,0.334,2,-0.03
YOL059W,GPD2,"NAD-dependent glycerol 3-phosphate dehydrogenase, homolog of Gpd1p, expression is controlled by an oxygen-independent signaling pathway required to regulate metabolism under anoxic conditions; located in cytosol and mitochondria",-0.14,0.27,-0.22,0.40,0.08,0.18,12,0.10,0.239,0.654,0.258,6,-0.02
YKR038C,KAE1,"Putative glycoprotease proposed to be in transcription as a component of the EKC protein complex with Bud32p, Cgi121p, Pcc1p, and Gon7p; also identified as a component of the KEOPS protein complex",-0.04,0.30,0.16,0.31,-0.07,-0.07,8,0.10,0.183,0.447,0.284,14,-0.01
YKL092C,BUD2,GTPase activating factor for Rsr1p/Bud1p required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types,-0.09,0.38,0.24,0.24,-0.27,0.08,9,0.10,0.240,0.604,0.284,4,0.07
YLR163C,MAS1,"Smaller subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins",0.02,0.00,0.15,0.13,0.27,0.01,17,0.10,0.106,0.127,0.211,9,0.02
YGL210W,YPT32,"GTPase of the Ypt/Rab family, very similar to Ypt31p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi",-0.06,0.34,0.06,0.13,-0.14,0.25,8,0.10,0.183,0.658,0.259,3,0.04
YNL251C,NRD1,"RNA-binding protein that interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), required for transcription termination and 3' end maturation of nonpolyadenylated RNAs",-0.31,0.10,0.42,-0.08,0.13,0.32,6,0.10,0.263,0.633,0.335,2,0.09
YDR388W,RVS167,"Actin-associated protein, subunit of a complex (Rvs161p-Rvs167p) involved in regulation of actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; homolog of mammalian amphiphysin",0.29,0.05,-0.03,0.09,-0.02,0.21,9,0.10,0.128,0.384,0.259,5,0.07
YLR069C,MEF1,Mitochondrial elongation factor involved in translational elongation,0.07,0.07,-0.10,0.20,0.13,0.21,52,0.10,0.114,0.269,0.204,17,0.09
YNL027W,CRZ1,Transcription factor that activates transcription of genes involved in stress response; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation,0.13,-0.12,0.22,0.08,0.58,-0.31,7,0.10,0.305,0.654,0.261,4,0.09
YGR037C,ACB1,"Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes",0.11,0.58,0.18,-0.09,-0.13,-0.08,36,0.09,0.266,0.562,0.206,10,0.02
YHR165C,PRP8,"Component of the U4/U6-U5 snRNP complex, involved in the second catalytic step of splicing; mutations of human Prp8 cause retinitis pigmentosa",-0.24,0.44,0.24,-0.18,0.24,0.07,4,0.09,0.264,0.759,0.288,5,-0.19
YIL005W,EPS1,"ER protein with chaperone and co-chaperone activity, involved in retention of resident ER proteins; has a role in recognizing proteins targeted for ER-associated degradation (ERAD), member of the protein disulfide isomerase family",-0.20,0.03,-0.60,1.00,-0.01,0.34,6,0.09,0.541,0.800,0.278,11,0.04
YCR084C,TUP1,"General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes",-0.12,-0.29,0.10,0.08,0.74,0.06,26,0.09,0.349,0.703,0.213,13,0.02
YDL025C,YDL025C,"Putative protein kinase, potentially phosphorylated by Cdc28p; YDL025C is not an essential gene",0.04,-0.02,0.23,0.01,0.20,0.11,8,0.09,0.102,0.266,0.263,6,0.19
YKR065C,PAM17,"Presequence translocase-associated motor subunit, required for stable complex formation between cochaperones Pam16p and Pam18p, promotes association of Pam16p-Pam18p with the presequence translocase",0.19,0.39,-0.20,-0.50,0.56,0.12,3,0.09,0.390,0.799,0.338,,
YDR116C,MRPL1,Mitochondrial ribosomal protein of the large subunit,0.03,0.48,0.02,-0.01,0.00,0.05,3,0.09,0.189,0.623,0.289,5,-0.11
YNL098C,RAS2,"GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto-oncogenes",0.05,-0.13,0.28,0.19,0.22,-0.06,59,0.09,0.166,0.364,0.209,26,0.11
YLR295C,ATP14,"Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis",-0.21,0.24,0.25,0.19,0.29,-0.18,8,0.09,0.228,0.511,0.279,9,0.08
YOR327C,SNC2,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins,0.31,0.29,-0.11,0.09,0.02,-0.05,4,0.09,0.175,0.474,0.279,5,0.03
YJR091C,JSN1,"Member of the Puf family of RNA-binding proteins, interacts with mRNAs encoding membrane-associated proteins; overexpression suppresses a tub2-150 mutation and causes increased sensitivity to benomyl in wild-type cells",0.59,-0.27,0.11,0.00,0.11,0.03,5,0.09,0.281,0.755,0.339,9,-0.01
YPL053C,KTR6,Probable mannosylphosphate transferase involved in the synthesis of core oligosaccharides in protein glycosylation pathway; member of the KRE2/MNT1 mannosyltransferase family,-0.04,0.09,0.37,0.10,0.04,0.01,10,0.09,0.143,0.334,0.265,3,0.08
YKL211C,TRP3,"Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p",0.14,0.19,0.10,0.03,-0.07,0.16,32,0.09,0.098,0.140,0.219,18,0.13
YNL090W,RHO2,"Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, involved in the establishment of cell polarity and in microtubule assembly",0.00,0.28,0.07,0.22,-0.09,0.08,6,0.09,0.137,0.384,0.216,5,0.06
YPL180W,TCO89,"Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin",0.06,0.00,0.23,0.11,0.15,0.00,10,0.09,0.089,0.241,0.216,5,0.13
YJR077C,MIR1,"Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated",0.26,0.30,-0.41,0.16,-0.12,0.36,23,0.09,0.299,0.791,0.220,13,0.10
YCR028C-A,RIM1,Single-stranded DNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replication,-0.01,-0.07,0.09,0.13,0.15,0.26,9,0.09,0.119,0.301,0.266,6,0.02
YLR414C,YLR414C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the bud and cytoplasm; Hog1p is required for transcriptional induction in response to cell wall damage; YLR414C is not an essential gene,-0.07,0.38,-0.23,0.22,0.03,0.21,9,0.09,0.223,0.567,0.291,12,0.13
YLR383W,SMC6,"Protein involved in structural maintenance of chromosomes; essential subunit of Mms21-Smc5-Smc6 complex; required for growth, DNA repair, interchromosomal and sister chromatid recombination; homologous to S. pombe rad18",0.13,-0.56,0.14,0.13,0.08,0.64,3,0.09,0.385,0.717,0.341,1,0.06
YOR176W,HEM15,"Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway",0.25,-0.05,0.01,0.37,-0.14,0.12,11,0.09,0.190,0.542,0.267,9,0.09
YOR239W,ABP140,"Nonessential protein that binds actin filaments and localizes to actin patches and cables, has similarity to S-adenosylmethionine (AdoMet)-dependent methyltransferases",0.02,-0.02,0.18,0.29,0.10,-0.01,14,0.09,0.124,0.668,0.282,15,-0.01
YDL132W,CDC53,"Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation",0.38,0.56,0.18,-0.23,-0.18,-0.16,14,0.09,0.331,0.716,0.218,13,0.10
YNL267W,PIK1,"Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4,5-biphosphate; may control cytokineses through the actin cytoskeleton",-0.04,-0.03,0.04,0.07,0.39,0.14,6,0.09,0.158,0.507,0.283,6,-0.02
YBL057C,PTH2,One of two (see also PTH1) mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via interactions with ubiquitin-like ubiquitin-associated proteins; dispensable for cell growth,-0.22,0.13,0.13,0.00,0.29,0.22,5,0.09,0.181,0.616,0.294,6,0.11
YDL103C,QRI1,"UDP-N-acetylglucosamine pyrophosphorylase, catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis",0.04,0.23,-0.09,0.09,0.02,0.26,43,0.09,0.133,0.541,0.216,35,0.03
YGL117W,YGL117W,Putative protein of unknown function,-0.18,0.19,-0.10,0.16,0.60,-0.12,7,0.09,0.292,0.737,0.285,7,0.05
YGR276C,RNH70,"3' exoribonuclease, required for 5S rRNA and tRNA-Arg3 maturation",-0.02,0.51,-0.38,-0.28,-0.24,0.96,2,0.09,0.531,0.865,0.344,6,0.00
YGR127W,YGR127W,"Putative protein of unknown function; expression is regulated by Msn2p/Msn4p, indicating a possible role in stress response",0.47,-0.26,0.14,0.40,0.06,-0.26,2,0.09,0.312,0.925,0.344,5,0.11
YMR029C,FAR8,"Protein involved in G1 cell cycle arrest in response to pheromone, in a pathway different from the Far1p-dependent pathway; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p",-0.12,-0.04,-0.03,0.18,0.54,0.02,12,0.09,0.240,0.682,0.224,4,0.11
YKL040C,NFU1,"Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria",-0.02,-0.06,-0.01,0.23,0.19,0.21,22,0.09,0.134,0.404,0.225,9,0.07
YBR053C,YBR053C,Putative protein of unknown function; induced by cell wall perturbation,0.14,-0.03,0.17,0.05,0.18,0.03,30,0.09,0.086,0.129,0.219,27,0.14
YBL030C,PET9,"Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; required for viability in many common lab strains carrying a mutation in the polymorphic SAL1 gene",0.02,0.13,0.15,0.15,-0.08,0.16,59,0.09,0.096,0.193,0.231,28,0.09
YFL004W,VTC2,Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in protein localization and non-autophagic vacuolar fusion,0.10,-0.07,0.16,0.06,0.33,-0.04,27,0.09,0.144,0.381,0.229,17,0.11
YOL061W,PRS5,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes",0.18,-0.10,0.21,0.14,0.11,0.00,10,0.09,0.119,0.441,0.229,7,-0.03
YPL036W,PMA2,"Plasma membrane H+-ATPase, isoform of Pma1p, involved in pumping protons out of the cell; regulator of cytoplasmic pH and plasma membrane potential",-0.05,0.41,-0.03,0.14,-0.09,0.16,97,0.09,0.189,0.451,0.232,40,0.01
YOL008W,COQ10,"Coenzyme Q (ubiquinone) binding protein, functions in the delivery of Q<sub>6</sub> to its proper location for electron transport during respiration; START domain protein with homologs in bacteria and eukaryotes",0.00,0.60,-0.52,0.88,-0.40,-0.03,2,0.09,0.552,0.855,0.347,4,0.05
YLR212C,TUB4,"Gamma-tubulin, involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body",-0.34,0.89,-0.06,0.54,-0.24,-0.27,2,0.09,0.507,0.858,0.347,,
YGR253C,PUP2,Alpha 5 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit zeta,0.07,0.08,-0.05,0.20,0.03,0.19,24,0.09,0.095,0.577,0.232,12,0.00
YDL019C,OSH2,"Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability",-0.10,0.21,0.21,0.12,-0.07,0.15,19,0.09,0.137,0.291,0.232,15,0.05
YBR035C,PDX3,"Pyridoxine (pyridoxamine) phosphate oxidase, has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism",0.07,0.16,-0.03,0.14,0.02,0.17,36,0.09,0.081,0.108,0.224,13,0.14
YHL013C,OTU2,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; member of the ovarian tumor-like (OTU) superfamily of predicted cysteine proteases; shows cytoplasmic localization",0.14,0.04,-0.03,-0.05,-0.17,0.60,9,0.09,0.272,0.641,0.278,11,0.09
YGR122W,YGR122W,Putative protein of unknown function; deletion mutants do not properly process Rim101p and have decreased resistance to rapamycin; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,-0.14,-0.01,0.02,0.31,0.30,0.05,2,0.09,0.180,0.705,0.349,3,0.36
YKR084C,HBS1,"GTP binding protein with sequence similarity to the elongation factor class of G proteins, EF-1alpha and Sup35p; associates with Dom34p, and shares a similar genetic relationship with genes that encode ribosomal protein components",-0.08,0.00,0.02,0.19,0.19,0.20,12,0.09,0.122,0.524,0.225,7,0.07
YLR389C,STE23,"Metalloprotease involved, with homolog Axl1p, in N-terminal processing of pro-a-factor to the mature form; member of the insulin-degrading enzyme family",0.12,0.24,-0.12,0.26,-0.12,0.14,20,0.09,0.171,0.410,0.225,23,0.00
YDL106C,PHO2,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p,0.44,0.14,-0.06,0.30,-0.07,-0.22,3,0.09,0.250,0.613,0.349,7,0.03
YOL112W,MSB4,"GTPase-activating protein of the Ras superfamily that acts primarily on Sec4p, localizes to the bud site and bud tip, has similarity to Msb3p; msb3 msb4 double mutation causes defects in secretion and actin organization",0.05,-1.06,0.18,0.32,0.97,0.07,3,0.09,0.657,0.825,0.280,3,0.03
YKL197C,PEX1,AAA-peroxin that heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis,-0.29,0.73,0.37,-0.08,-0.05,-0.16,5,0.09,0.386,0.755,0.294,5,0.14
YNL330C,RPD3,Histone deacetylase; regulates transcription and silencing; plays a role in regulating Ty1 transposition,0.16,0.27,-0.50,0.37,0.05,0.17,9,0.09,0.308,0.651,0.350,7,0.09
YLR078C,BOS1,"v-SNARE (vesicle specific SNAP receptor), localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi",-0.01,0.03,0.33,-0.05,0.24,-0.02,6,0.09,0.159,0.379,0.294,4,-0.03
YKR026C,GCN3,"Alpha subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a positive regulator of GCN4 expression",0.34,0.14,0.25,-0.17,0.04,-0.09,3,0.09,0.197,0.633,0.350,10,-0.05
YJL174W,KRE9,"Glycoprotein involved in cell wall beta-glucan assembly; null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects",-0.15,0.49,0.17,-0.33,0.28,0.06,6,0.09,0.295,0.783,0.296,4,0.05
YLR439W,MRPL4,Mitochondrial ribosomal protein of the large subunit,0.06,-0.39,0.07,0.07,0.28,0.42,9,0.09,0.273,0.683,0.234,10,-0.07
YFR013W,IOC3,"Member of a complex (Isw1a) with Isw1p that has nucleosome-stimulated ATPase activity and represses transcription initiation by specific positioning of a promoter proximal dinucleosome; has homology to Esc8p, which is involved in silencing",-0.27,-0.11,-0.56,0.05,0.88,0.52,6,0.09,0.531,0.871,0.234,4,-0.10
YCL001W,RER1,"Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi; functions as a retrieval receptor in returning membrane proteins to the ER",0.30,0.39,-0.13,0.06,-0.69,0.59,2,0.09,0.459,0.831,0.296,,
YBR177C,EHT1,Acyl-coenzymeA:ethanol O-acyltransferase that plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane,0.01,0.09,0.03,0.14,-0.01,0.24,44,0.09,0.095,0.304,0.230,27,0.12
YLR357W,RSC2,Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance,-0.09,0.44,-0.43,0.16,0.33,0.10,5,0.09,0.312,0.800,0.306,8,-0.02
YIL135C,VHS2,"Cytoplasmic protein of unknown function; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant, suggesting a role in G1/S phase progression; similar to Mlf3p",0.17,-0.27,0.26,-0.01,0.50,-0.13,5,0.09,0.281,0.619,0.352,5,0.09
YML131W,YML131W,Putative protein of unknown function with similarity to oxidoreductases; HOG1 and SKO1-dependent mRNA expression is induced after osmotic shock; GFP-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS,0.00,0.19,0.02,0.13,0.08,0.10,54,0.09,0.068,0.168,0.242,24,0.23
YBR200W,BEM1,"Protein containing SH3-domains, involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p",0.12,0.23,-0.38,0.06,0.25,0.23,6,0.09,0.240,0.748,0.298,5,0.08
YMR047C,NUP116,Subunit of the nuclear pore complex (NPC) that is localized to both sides of the pore; contains a repetitive GLFG motif that interacts with mRNA export factor Mex67p and with karyopherin Kap95p; homologous to Nup100p,-0.07,-0.13,0.16,0.15,0.26,0.14,21,0.08,0.149,0.447,0.241,22,-0.02
YDR464W,SPP41,Protein involved in negative regulation of expression of spliceosome components PRP4 and PRP3,0.03,-1.06,-0.02,-0.25,1.16,0.65,4,0.08,0.761,0.806,0.299,5,-0.11
YMR105C,PGM2,"Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase",0.08,0.19,0.12,0.15,-0.04,0.00,44,0.08,0.086,0.303,0.244,49,0.26
YJR109C,CPA2,"Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor",0.09,0.17,0.02,0.11,0.00,0.11,122,0.08,0.065,0.170,0.245,65,0.10
YGR180C,RNR4,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits",0.14,0.08,0.09,0.15,0.04,0.01,58,0.08,0.053,0.202,0.245,29,0.08
YDR047W,HEM12,"Uroporphyrinogen decarboxylase, catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; activity inhibited by Cu2+, Zn2+, Fe2+, Fe3+ and sulfhydryl-specific reagents",-0.01,0.23,0.25,-0.52,-0.01,0.56,4,0.08,0.362,0.761,0.310,6,-0.06
YOL016C,CMK2,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II",0.16,0.00,0.22,0.03,-0.09,0.18,16,0.08,0.121,0.450,0.240,16,0.21
YDL171C,GLT1,"NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source",0.21,0.19,0.19,0.00,-0.09,0.00,73,0.08,0.129,0.245,0.247,39,0.15
YMR092C,AIP1,"Actin cortical patch component, interacts with the actin depolymerizing factor cofilin; required to restrict cofilin localization to cortical patches; contains WD repeats",0.08,-0.01,-0.08,0.16,0.11,0.23,29,0.08,0.112,0.415,0.245,11,0.12
YDR356W,SPC110,"Inner plaque spindle pole body (SPB) component, ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner",-0.07,0.29,0.13,0.00,0.13,0.02,9,0.08,0.130,0.357,0.288,13,-0.07
YNL071W,LAT1,"Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA",0.18,-0.02,0.19,0.03,0.05,0.08,81,0.08,0.083,0.209,0.247,20,0.06
YBR234C,ARC40,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",-0.09,0.28,0.32,0.17,-0.29,0.12,13,0.08,0.232,0.619,0.288,5,0.10
YCL029C,BIK1,"Microtubule-associated protein, component of the interface between microtubules and kinetochore, involved in sister chromatid separation; essential in polyploid cells but not in haploid or diploid cells; ortholog of mammalian CLIP-170",0.07,0.09,0.03,0.34,-0.19,0.15,8,0.08,0.172,0.604,0.302,,
YJL001W,PRE3,"Beta 1 subunit of the 20S proteasome, responsible for cleavage after acidic residues in peptides",0.22,-0.03,0.03,0.03,0.08,0.18,18,0.08,0.097,0.292,0.242,7,0.13
YNL107W,YAF9,"Subunit of both the NuA4 histone H4 acetyltransferase complex and the SWR1 complex, may function to antagonize silencing near telomeres; interacts directly with Swc4p, has homology to human leukemogenic protein AF9, contains a YEATS domain",0.02,0.17,0.20,-0.15,0.08,0.19,7,0.08,0.136,0.357,0.312,,
YPL271W,ATP15,"Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated",0.08,-0.30,0.25,0.09,0.41,-0.03,5,0.08,0.240,0.660,0.290,6,0.06
YHR146W,CRP1,Protein that binds to cruciform DNA structures,0.05,-0.18,0.13,0.02,0.44,0.04,51,0.08,0.201,0.472,0.249,26,0.08
